"Label (Grouping)","HOUSEHOLDS","HOUSEHOLDS!!Total households","HOUSEHOLDS!!Average household size","FAMILIES","FAMILIES!!Total families","FAMILIES!!Average family size","AGE OF OWN CHILDREN","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only","Total households","Total households!!SELECTED HOUSEHOLDS BY TYPE","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 60 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone!!65 years and over","Total households!!UNITS IN STRUCTURE","Total households!!UNITS IN STRUCTURE!!1-unit structures","Total households!!UNITS IN STRUCTURE!!2-or-more-unit structures","Total households!!UNITS IN STRUCTURE!!Mobile homes and all other types of units","Total households!!HOUSING TENURE","Total households!!HOUSING TENURE!!Owner-occupied housing units","Total households!!HOUSING TENURE!!Renter-occupied housing units"
"        Margin of Error","","±13,299","±0.02","","±13,299","±0.02","","±10,850","±1.0","±1.2","±1.3","±13,299","","±0.8","±0.7","(X)","(X)","(X)","","±0.6","±0.6","±0.1","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","124,762","3.17","","124,762","2.76","","53,853","18.5%","15.9%","65.5%","124,762","","51.3%","33.1%","(X)","(X)","(X)","","72.6%","24.9%","2.5%","","61.3%","38.7%"
"        Margin of Error","","±6,632","±0.08","","±6,632","±0.07","","±4,461","±3.9","±3.4","±4.4","±6,632","","±2.8","±2.6","(X)","(X)","(X)","","±2.5","±2.5","±0.9","","±3.3","±3.3"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","316,894","3.22","","316,894","3.01","","152,586","19.3%","14.4%","66.3%","316,894","","57.7%","34.5%","(X)","(X)","(X)","","69.8%","28.8%","1.4%","","53.1%","46.9%"
"        Margin of Error","","±8,751","±0.06","","±8,751","±0.06","","±7,944","±2.6","±2.0","±2.8","±8,751","","±1.6","±1.5","(X)","(X)","(X)","","±1.6","±1.6","±0.3","","±2.1","±2.1"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","829,702","1.24","","(X)","(X)","","(X)","(X)","(X)","(X)","829,702","","0.7%","46.3%","35.4%","81.6%","32.4%","","54.6%","43.9%","1.5%","","52.6%","47.4%"
"        Margin of Error","","±14,716","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±14,716","","±0.2","±1.0","±0.9","±0.8","±0.9","","±1.0","±1.1","±0.2","","±1.1","±1.1"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,797,776","2.41","","1,724,355","3.02","","699,430","22.5%","16.9%","60.6%","2,797,776","","27.4%","43.1%","32.5%","29.1%","12.5%","","56.5%","42.6%","0.9%","","62.2%","37.8%"
"        Margin of Error","","±8,835","±0.01","","±13,855","±0.02","","±10,701","±0.9","±0.8","±1.1","±8,835","","±0.4","±0.3","±0.2","±0.5","±0.3","","±0.4","±0.4","±0.1","","±0.5","±0.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,263,224","3.13","","1,263,224","3.11","","482,840","25.0%","18.3%","56.7%","1,263,224","","40.3%","44.2%","(X)","(X)","(X)","","77.2%","22.3%","0.5%","","82.5%","17.5%"
"        Margin of Error","","±13,630","±0.02","","±13,630","±0.02","","±9,655","±1.0","±1.0","±1.2","±13,630","","±0.6","±0.6","(X)","(X)","(X)","","±0.6","±0.6","±0.1","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","130,488","2.97","","130,488","2.63","","57,764","18.6%","14.9%","66.5%","130,488","","51.8%","31.7%","(X)","(X)","(X)","","52.7%","46.4%","0.9%","","54.5%","45.5%"
"        Margin of Error","","±7,002","±0.07","","±7,002","±0.06","","±5,422","±4.0","±2.9","±3.7","±7,002","","±3.1","±2.5","(X)","(X)","(X)","","±2.6","±2.7","±0.5","","±2.8","±2.8"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","330,643","3.05","","330,643","2.83","","158,826","16.6%","13.2%","70.2%","330,643","","55.8%","33.8%","(X)","(X)","(X)","","48.2%","51.1%","0.7%","","47.6%","52.4%"
"        Margin of Error","","±9,225","±0.05","","±9,225","±0.05","","±7,042","±1.9","±1.7","±2.5","±9,225","","±1.7","±1.5","(X)","(X)","(X)","","±1.7","±1.6","±0.2","","±1.8","±1.8"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,073,421","1.30","","(X)","(X)","","(X)","(X)","(X)","(X)","1,073,421","","0.5%","46.0%","36.2%","75.9%","32.7%","","35.3%","63.5%","1.3%","","43.8%","56.2%"
"        Margin of Error","","±13,764","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±13,764","","±0.1","±0.8","±0.7","±0.8","±0.7","","±0.7","±0.8","±0.2","","±0.9","±0.9"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,089,794","2.40","","2,548,560","3.02","","981,987","21.5%","19.4%","59.1%","4,089,794","","26.6%","43.5%","32.8%","30.5%","12.7%","","77.4%","17.8%","4.9%","","73.2%","26.8%"
"        Margin of Error","","±11,504","±0.01","","±17,210","±0.01","","±12,337","±0.7","±0.7","±0.8","±11,504","","±0.3","±0.2","±0.2","±0.4","±0.2","","±0.3","±0.3","±0.2","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,868,821","3.08","","1,868,821","3.06","","653,677","22.1%","20.6%","57.3%","1,868,821","","37.1%","44.6%","(X)","(X)","(X)","","91.8%","4.7%","3.5%","","90.0%","10.0%"
"        Margin of Error","","±17,438","±0.02","","±17,438","±0.02","","±10,354","±0.9","±0.8","±1.0","±17,438","","±0.4","±0.4","(X)","(X)","(X)","","±0.3","±0.2","±0.2","","±0.4","±0.4"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","200,271","3.05","","200,271","2.67","","93,008","27.0%","13.7%","59.3%","200,271","","53.5%","31.3%","(X)","(X)","(X)","","77.5%","13.9%","8.6%","","70.3%","29.7%"
"        Margin of Error","","±8,001","±0.06","","±8,001","±0.05","","±5,558","±3.0","±2.1","±3.4","±8,001","","±2.0","±1.6","(X)","(X)","(X)","","±1.8","±1.6","±1.3","","±1.9","±1.9"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","479,468","3.22","","479,468","3.00","","235,302","17.5%","18.4%","64.1%","479,468","","57.9%","31.5%","(X)","(X)","(X)","","73.7%","18.3%","8.1%","","58.4%","41.6%"
"        Margin of Error","","±11,761","±0.05","","±11,761","±0.04","","±7,841","±1.4","±1.5","±2.0","±11,761","","±1.2","±0.9","(X)","(X)","(X)","","±1.3","±1.2","±0.7","","±1.2","±1.2"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,541,234","1.24","","(X)","(X)","","(X)","(X)","(X)","(X)","1,541,234","","0.8%","47.4%","36.4%","81.0%","33.8%","","61.0%","34.0%","5.0%","","57.6%","42.4%"
"        Margin of Error","","±16,450","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±16,450","","±0.1","±0.6","±0.5","±0.5","±0.6","","±0.6","±0.6","±0.3","","±0.6","±0.6"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,322,190","2.40","","1,456,312","3.01","","611,423","22.0%","20.1%","57.9%","2,322,190","","28.1%","40.1%","29.8%","29.5%","11.6%","","73.8%","23.7%","2.5%","","72.1%","27.9%"
"        Margin of Error","","±6,929","±0.01","","±12,349","±0.02","","±8,955","±0.9","±0.8","±0.9","±6,929","","±0.4","±0.3","±0.2","±0.5","±0.3","","±0.5","±0.5","±0.1","","±0.5","±0.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,147,255","3.07","","1,147,255","3.05","","443,760","22.7%","21.2%","56.0%","1,147,255","","40.1%","40.7%","(X)","(X)","(X)","","90.4%","7.8%","1.8%","","89.4%","10.6%"
"        Margin of Error","","±11,307","±0.02","","±11,307","±0.02","","±8,653","±1.2","±0.9","±1.1","±11,307","","±0.5","±0.5","(X)","(X)","(X)","","±0.5","±0.4","±0.2","","±0.5","±0.5"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","107,485","3.03","","107,485","2.66","","53,696","26.0%","12.9%","61.0%","107,485","","57.1%","24.0%","(X)","(X)","(X)","","74.0%","21.1%","4.9%","","68.7%","31.3%"
"        Margin of Error","","±5,166","±0.08","","±5,166","±0.07","","±3,702","±3.4","±2.3","±3.7","±5,166","","±2.5","±2.0","(X)","(X)","(X)","","±2.1","±2.1","±0.9","","±2.6","±2.6"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","201,572","3.18","","201,572","2.92","","113,967","17.3%","18.9%","63.8%","201,572","","62.7%","26.5%","(X)","(X)","(X)","","68.3%","27.7%","4.1%","","57.8%","42.2%"
"        Margin of Error","","±6,343","±0.06","","±6,343","±0.06","","±5,143","±2.0","±2.0","±2.5","±6,343","","±1.5","±1.7","(X)","(X)","(X)","","±1.9","±1.9","±0.6","","±1.9","±1.9"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","865,878","1.26","","(X)","(X)","","(X)","(X)","(X)","(X)","865,878","","0.6%","44.4%","34.1%","79.1%","31.2%","","53.1%","44.3%","2.6%","","53.0%","47.0%"
"        Margin of Error","","±11,838","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±11,838","","±0.1","±0.7","±0.6","±0.8","±0.6","","±1.0","±1.0","±0.2","","±1.0","±1.0"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,148,340","2.48","","754,264","3.09","","305,090","19.3%","20.5%","60.2%","1,148,340","","31.0%","43.3%","32.4%","29.9%","12.4%","","72.3%","13.3%","14.4%","","69.9%","30.1%"
"        Margin of Error","","±8,056","±0.02","","±11,027","±0.04","","±8,732","±1.3","±1.5","±1.6","±8,056","","±0.7","±0.5","±0.3","±0.9","±0.5","","±0.7","±0.6","±0.5","","±0.7","±0.7"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","503,356","3.10","","503,356","3.08","","181,613","20.3%","22.0%","57.6%","503,356","","39.7%","42.7%","(X)","(X)","(X)","","83.6%","3.5%","12.9%","","85.2%","14.8%"
"        Margin of Error","","±9,840","±0.03","","±9,840","±0.03","","±7,475","±1.5","±1.7","±1.8","±9,840","","±1.2","±1.0","(X)","(X)","(X)","","±0.9","±0.5","±0.8","","±0.8","±0.8"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","59,370","3.10","","59,370","2.80","","26,213","23.9%","9.0%","67.0%","59,370","","54.1%","33.4%","(X)","(X)","(X)","","71.8%","7.5%","20.7%","","71.1%","28.9%"
"        Margin of Error","","±4,440","±0.13","","±4,440","±0.12","","±3,236","±5.1","±3.7","±6.2","±4,440","","±4.2","±3.6","(X)","(X)","(X)","","±3.1","±1.8","±2.9","","±3.5","±3.5"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","191,538","3.35","","191,538","3.19","","97,264","16.2%","20.6%","63.2%","191,538","","63.1%","31.5%","(X)","(X)","(X)","","63.7%","20.0%","16.4%","","52.2%","47.8%"
"        Margin of Error","","±6,265","±0.09","","±6,265","±0.09","","±5,450","±2.3","±3.1","±3.4","±6,265","","±1.9","±2.0","(X)","(X)","(X)","","±1.9","±1.6","±1.5","","±2.2","±2.2"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","394,076","1.17","","(X)","(X)","","(X)","(X)","(X)","(X)","394,076","","1.0%","51.3%","38.7%","87.1%","36.2%","","62.1%","23.5%","14.4%","","58.8%","41.2%"
"        Margin of Error","","±9,362","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±9,362","","±0.3","±1.5","±1.3","±1.0","±1.3","","±1.3","±1.3","±1.0","","±1.4","±1.4"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,521,832","2.38","","1,569,735","3.00","","635,899","22.0%","20.6%","57.4%","2,521,832","","28.0%","41.8%","31.4%","30.9%","12.4%","","75.2%","19.9%","4.9%","","67.6%","32.4%"
"        Margin of Error","","±11,480","±0.01","","±16,545","±0.02","","±10,327","±0.8","±0.9","±0.9","±11,480","","±0.4","±0.3","±0.2","±0.6","±0.3","","±0.4","±0.4","±0.2","","±0.5","±0.5"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,168,049","3.07","","1,168,049","3.05","","422,729","23.1%","22.1%","54.8%","1,168,049","","38.6%","42.4%","(X)","(X)","(X)","","89.5%","6.0%","4.5%","","85.6%","14.4%"
"        Margin of Error","","±15,509","±0.02","","±15,509","±0.02","","±8,500","±1.1","±1.1","±1.1","±15,509","","±0.6","±0.6","(X)","(X)","(X)","","±0.6","±0.5","±0.3","","±0.6","±0.6"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","123,769","3.05","","123,769","2.67","","61,715","25.4%","15.3%","59.3%","123,769","","56.4%","31.5%","(X)","(X)","(X)","","75.8%","16.6%","7.6%","","63.0%","37.0%"
"        Margin of Error","","±6,375","±0.08","","±6,375","±0.07","","±4,957","±3.5","±3.1","±3.5","±6,375","","±2.6","±2.6","(X)","(X)","(X)","","±2.4","±2.1","±1.3","","±2.8","±2.8"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","277,917","3.18","","277,917","2.94","","151,455","17.7%","18.7%","63.6%","277,917","","63.2%","29.2%","(X)","(X)","(X)","","73.4%","20.8%","5.9%","","52.5%","47.5%"
"        Margin of Error","","±8,120","±0.06","","±8,120","±0.06","","±6,866","±1.5","±1.8","±1.9","±8,120","","±1.7","±1.2","(X)","(X)","(X)","","±1.6","±1.5","±0.7","","±1.8","±1.8"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","952,097","1.23","","(X)","(X)","","(X)","(X)","(X)","(X)","952,097","","1.0%","46.1%","35.3%","81.9%","32.9%","","58.2%","37.0%","4.8%","","50.6%","49.4%"
"        Margin of Error","","±15,163","±0.01","","(X)","(X)","","(X)","(X)","(X)","(X)","±15,163","","±0.2","±0.8","±0.7","±0.7","±0.8","","±0.8","±0.7","±0.3","","±0.8","±0.8"
"Montana","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","464,072","2.36","","282,216","2.95","","108,850","22.4%","19.4%","58.2%","464,072","","25.9%","44.0%","34.0%","30.5%","13.2%","","73.7%","17.2%","9.1%","","68.8%","31.2%"
"        Margin of Error","","±4,326","±0.02","","±5,376","±0.04","","±4,635","±2.0","±1.9","±2.6","±4,326","","±1.0","±0.7","±0.6","±1.0","±0.8","","±1.1","±0.9","±0.7","","±1.0","±1.0"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","223,380","3.00","","223,380","2.97","","77,775","24.1%","22.3%","53.6%","223,380","","36.8%","45.7%","(X)","(X)","(X)","","88.7%","5.2%","6.1%","","84.8%","15.2%"
"        Margin of Error","","±5,140","±0.03","","±5,140","±0.03","","±3,751","±2.6","±2.4","±3.1","±5,140","","±1.5","±1.1","(X)","(X)","(X)","","±1.2","±0.8","±0.8","","±1.3","±1.3"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","20,899","3.18","","20,899","2.75","","11,285","18.6%","10.3%","71.1%","20,899","","60.7%","24.2%","(X)","(X)","(X)","","64.1%","17.9%","18.0%","","58.5%","41.5%"
"        Margin of Error","","±2,120","±0.16","","±2,120","±0.15","","±1,672","±6.2","±3.7","±7.1","±2,120","","±5.6","±4.5","(X)","(X)","(X)","","±7.0","±5.3","±5.1","","±5.4","±5.4"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","37,937","3.19","","37,937","2.93","","19,790","17.7%","13.1%","69.2%","37,937","","64.0%","31.4%","(X)","(X)","(X)","","65.6%","18.6%","15.8%","","61.8%","38.2%"
"        Margin of Error","","±3,197","±0.15","","±3,197","±0.14","","±2,440","±4.3","±4.4","±6.1","±3,197","","±4.5","±3.7","(X)","(X)","(X)","","±4.1","±3.4","±3.1","","±4.0","±4.0"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","181,856","1.29","","(X)","(X)","","(X)","(X)","(X)","(X)","181,856","","0.7%","46.8%","37.2%","77.8%","33.8%","","58.2%","31.4%","10.4%","","51.8%","48.2%"
"        Margin of Error","","±6,008","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±6,008","","±0.3","±2.0","±1.8","±1.7","±1.7","","±1.8","±1.7","±1.2","","±1.7","±1.7"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","803,157","2.39","","501,595","3.02","","226,142","21.2%","21.0%","57.8%","803,157","","30.1%","38.9%","29.3%","30.8%","12.2%","","76.3%","21.6%","2.1%","","66.0%","34.0%"
"        Margin of Error","","±3,991","±0.01","","±6,684","±0.03","","±5,913","±1.3","±1.5","±1.6","±3,991","","±0.7","±0.5","±0.3","±0.7","±0.5","","±0.8","±0.8","±0.2","","±0.9","±0.9"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","390,540","3.11","","390,540","3.09","","160,712","22.1%","22.7%","55.2%","390,540","","42.7%","39.8%","(X)","(X)","(X)","","92.3%","6.3%","1.4%","","85.1%","14.9%"
"        Margin of Error","","±6,987","±0.03","","±6,987","±0.03","","±5,548","±1.6","±1.7","±1.9","±6,987","","±1.0","±0.7","(X)","(X)","(X)","","±0.6","±0.6","±0.2","","±0.9","±0.9"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","33,799","3.09","","33,799","2.64","","18,961","20.9%","18.7%","60.4%","33,799","","62.1%","23.0%","(X)","(X)","(X)","","83.3%","13.9%","2.8%","","61.5%","38.5%"
"        Margin of Error","","±3,073","±0.12","","±3,073","±0.10","","±2,309","±6.0","±5.5","±6.3","±3,073","","±3.9","±3.6","(X)","(X)","(X)","","±4.0","±3.9","±1.5","","±5.0","±5.0"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","77,256","3.05","","77,256","2.83","","46,469","18.0%","15.9%","66.1%","77,256","","67.8%","22.8%","(X)","(X)","(X)","","70.7%","24.9%","4.3%","","46.6%","53.4%"
"        Margin of Error","","±3,568","±0.10","","±3,568","±0.09","","±3,279","±2.9","±2.5","±3.2","±3,568","","±2.8","±2.0","(X)","(X)","(X)","","±3.3","±3.3","±1.3","","±2.8","±2.8"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","301,562","1.22","","(X)","(X)","","(X)","(X)","(X)","(X)","301,562","","0.7%","43.7%","34.3%","82.0%","32.5%","","56.3%","41.3%","2.5%","","46.6%","53.4%"
"        Margin of Error","","±6,560","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±6,560","","±0.3","±1.5","±1.1","±1.0","±1.1","","±1.5","±1.5","±0.5","","±1.5","±1.5"
"Nevada","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,198,356","2.62","","773,666","3.21","","306,886","20.0%","21.2%","58.8%","1,198,356","","29.4%","41.8%","32.0%","27.5%","11.0%","","68.0%","26.7%","5.3%","","60.3%","39.7%"
"        Margin of Error","","±7,074","±0.02","","±11,594","±0.04","","±8,166","±1.5","±1.6","±1.9","±7,074","","±0.7","±0.4","±0.4","±0.8","±0.5","","±0.6","±0.6","±0.3","","±0.8","±0.8"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","530,175","3.27","","530,175","3.23","","191,227","19.9%","22.5%","57.6%","530,175","","39.4%","43.1%","(X)","(X)","(X)","","83.2%","11.7%","5.1%","","75.5%","24.5%"
"        Margin of Error","","±9,613","±0.03","","±9,613","±0.03","","±5,976","±1.7","±2.0","±2.2","±9,613","","±1.0","±0.9","(X)","(X)","(X)","","±0.8","±0.7","±0.5","","±1.2","±1.2"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","83,568","3.44","","83,568","3.00","","34,998","26.9%","17.4%","55.7%","83,568","","50.0%","33.2%","(X)","(X)","(X)","","66.2%","25.4%","8.4%","","53.2%","46.8%"
"        Margin of Error","","±5,992","±0.12","","±5,992","±0.11","","±3,746","±5.7","±3.9","±5.8","±5,992","","±3.5","±2.6","(X)","(X)","(X)","","±3.4","±3.2","±1.9","","±3.4","±3.4"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","159,923","3.56","","159,923","3.28","","80,661","17.0%","19.9%","63.2%","159,923","","61.4%","31.1%","(X)","(X)","(X)","","62.3%","32.7%","5.0%","","45.3%","54.7%"
"        Margin of Error","","±7,246","±0.09","","±7,246","±0.09","","±5,673","±3.0","±2.9","±3.8","±7,246","","±2.4","±2.3","(X)","(X)","(X)","","±2.4","±2.1","±1.4","","±2.5","±2.5"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","424,690","1.30","","(X)","(X)","","(X)","(X)","(X)","(X)","424,690","","0.8%","45.9%","35.6%","77.7%","30.9%","","51.5%","43.3%","5.2%","","48.4%","51.6%"
"        Margin of Error","","±9,909","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±9,909","","±0.2","±1.1","±1.1","±1.3","±1.1","","±1.2","±1.2","±0.6","","±1.3","±1.3"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","557,220","2.44","","358,120","2.98","","126,388","24.5%","14.5%","61.0%","557,220","","25.1%","46.7%","34.7%","27.6%","12.8%","","69.0%","26.0%","5.0%","","72.3%","27.7%"
"        Margin of Error","","±4,834","±0.02","","±5,637","±0.03","","±5,029","±2.2","±1.9","±2.4","±4,834","","±0.9","±0.7","±0.5","±0.9","±0.6","","±1.0","±1.0","±0.4","","±1.0","±1.0"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","285,354","3.02","","285,354","2.99","","92,139","26.0%","15.8%","58.3%","285,354","","34.1%","46.0%","(X)","(X)","(X)","","85.7%","10.9%","3.4%","","87.1%","12.9%"
"        Margin of Error","","±5,422","±0.03","","±5,422","±0.03","","±4,352","±2.4","±2.3","±2.5","±5,422","","±1.3","±1.1","(X)","(X)","(X)","","±1.0","±1.0","±0.4","","±1.2","±1.2"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","25,605","3.16","","25,605","2.70","","12,231","24.5%","10.4%","65.0%","25,605","","54.6%","31.3%","(X)","(X)","(X)","","60.8%","33.2%","6.0%","","69.9%","30.1%"
"        Margin of Error","","±2,843","±0.19","","±2,843","±0.16","","±2,060","±8.6","±5.7","±9.1","±2,843","","±5.8","±5.4","(X)","(X)","(X)","","±6.7","±6.7","±2.2","","±5.4","±5.4"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","47,161","3.42","","47,161","3.10","","22,018","18.6%","11.3%","70.1%","47,161","","58.9%","31.9%","(X)","(X)","(X)","","58.9%","36.5%","4.7%","","57.3%","42.7%"
"        Margin of Error","","±3,122","±0.16","","±3,122","±0.15","","±2,470","±5.4","±3.9","±6.2","±3,122","","±3.7","±3.6","(X)","(X)","(X)","","±3.7","±3.8","±1.4","","±3.3","±3.3"
"    Nonfamily household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","199,100","1.28","","(X)","(X)","","(X)","(X)","(X)","(X)","199,100","","0.4%","53.2%","41.0%","77.3%","36.0%","","48.6%","44.1%","7.4%","","54.9%","45.1%"
"        Margin of Error","","±5,765","±0.02","","(X)","(X)","","(X)","(X)","(X)","(X)","±5,765","","±0.2","±1.9","±1.7","±1.7","±1.5","","±2.1","±2.0","±0.9","","±1.9","±1.9"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,516,978","2.59","","2,378,459","3.16","","974,849","20.8%","18.6%","60.6%","3,516,978","","30.3%","44.3%","33.4%","26.5%","11.8%","","63.3%","35.7%","1.0%","","64.6%","35.4%"
"        Margin of Error","","±9,044","±0.01","","±15,865","±0.02","","±12,537","±0.7","±0.8","±1.0","±9,044","","±0.4","±0.3","±0.2","±0.4","±0.3","","±0.4","±0.4","±0.1","","±0.4","±0.4"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,753,523","3.27","","1,753,523","3.25","","706,920","22.7%","19.1%","58.2%","1,753,523","","42.5%","42.8%","(X)","(X)","(X)","","79.1%","20.3%","0.6%","","80.0%","20.0%"
"        Margin of Error","","±16,037","±0.01","","±16,037","±0.01","","±11,584","±0.9","±0.8","±1.0","±16,037","","±0.5","±0.4","(X)","(X)","(X)","","±0.5","±0.5","±0.1","","±0.5","±0.5"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","181,566","3.07","","181,566","2.69","","69,934","21.4%","16.2%","62.4%","181,566","","46.6%","38.5%","(X)","(X)","(X)","","55.5%","43.7%","0.8%","","53.2%","46.8%"
"        Margin of Error","","±9,023","±0.08","","±9,023","±0.07","","±5,759","±3.5","±3.3","±4.1","±9,023","","±2.6","±2.5","(X)","(X)","(X)","","±1.9","±1.9","±0.4","","±2.4","±2.4"
"    Female householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","443,370","3.20","","443,370","2.98","","197,995","14.0%","17.4%","68.6%","443,370","","52.2%","38.1%","(X)","(X)","(X)","","56.4%","42.4%","1.2%","","49.6%","50.4%"
"        Margin of Error","","±10,562","±0.04","","±10,562","±0.04","","±8,067","±1.6","±2.0","±2.3","±10,562","","±1.4","±1.2","(X)","(X)","(X)","","±1.4","±1.4","±0.4","","±1.5","±1.5"
